date;series_g
160;147
161;147
162;145
163;143
164;142
165;140
166;138
167;137
168;137
169;135
170;132
171;130
172;129
173;126
174;124
175;123
176;120
177;117
178;117
179;117
180;115
181;113
182;112
183;110
184;109
185;107
186;101
187;94
188;86
189;77
190;75
191;74
192;70
193;64
194;60
195;56
196;52
197;47
198;45
199;41
200;39
201;38
202;37
203;32
204;26
205;22
206;22
207;19
208;15
209;13
210;12
211;10
212;9
213;159
214;158
215;156
216;153
217;149
218;147
219;145
220;144
221;143
222;142
223;140
224;137
225;135
226;131
227;130
228;129
229;128
230;128
231;127
232;124
233;121
234;118
235;118
236;117
237;115
238;115
239;113
240;110
241;109
242;107
243;99
244;92
245;84
246;76
247;71
248;65
249;59
250;55
251;49
252;46
253;45
254;43
255;42
256;42
257;41
258;40
259;38
260;33
261;30
262;24
263;20
264;18
265;16
266;15
267;14
268;11
269;5
270;155
271;155
272;154
273;152
274;151
275;149
276;148
277;148
278;146
279;144
280;143
281;140
282;139
283;139
284;135
285;131
286;130
287;130
288;129
289;128
290;127
291;124
292;121
293;120
294;118
295;117
296;115
297;112
298;103
299;98
300;91
301;87
302;80
303;71
304;62
305;56
306;54
307;49
308;47
309;47
310;46
311;45
312;40
313;35
314;26
315;21
316;18
317;10
318;8
319;3
